WeatherPy_Database,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
246,Vestmannaeyjar,IS,2021-03-15 00:54:20,63.4427,-20.2734,39.27,87,100,20.29
247,Presidencia Roque Saenz Pena,AR,2021-03-15 00:58:23,-26.7852,-60.4388,82.99,42,93,1.01
248,Najran,SA,2021-03-15 00:58:51,17.4924,44.1277,64.4,36,0,3.44
249,Chapais,CA,2021-03-15 00:58:51,49.7834,-74.8492,-4.0,65,75,17.27
250,Balabac,PH,2021-03-15 00:58:52,7.9868,117.0645,82.24,78,2,7.85
251,Morgaushi,RU,2021-03-15 00:58:52,55.9643,46.7743,26.6,93,90,15.66
252,Huilong,CN,2021-03-15 00:58:52,31.8111,121.655,64.0,62,98,4.0
253,Teya,RU,2021-03-15 00:58:53,60.3778,92.6267,-1.23,97,83,6.02
254,Touros,BR,2021-03-15 00:58:53,-5.1989,-35.4608,78.8,78,20,5.75
255,Mayor Pablo Lagerenza,PY,2021-03-15 00:58:54,-19.9309,-60.7718,74.88,85,99,5.53
256,Mahebourg,MU,2021-03-15 00:58:54,-20.4081,57.7,75.2,100,75,3.44
257,Moose Factory,CA,2021-03-15 00:58:54,51.2585,-80.6094,3.2,55,1,8.05
258,Alyangula,AU,2021-03-15 00:58:55,-13.8483,136.4192,87.8,66,40,2.3
259,Haines Junction,CA,2021-03-15 00:58:55,60.7522,-137.5108,12.2,28,0,3.44
260,Ketchikan,US,2021-03-15 00:58:55,55.3422,-131.6461,33.8,75,75,5.75
261,Vardo,NO,2021-03-15 00:58:56,70.3705,31.1107,26.6,93,75,1.14
262,Bako,ET,2021-03-15 00:58:56,5.7833,36.5667,68.67,56,6,5.59
263,Klaksvik,FO,2021-03-15 00:58:56,62.2266,-6.589,39.2,81,75,9.22
264,Libertador General San Martin,AR,2021-03-15 00:57:04,-23.8064,-64.7876,73.99,94,100,2.84
265,Laguna,US,2021-03-15 00:58:57,38.421,-121.4238,57.0,54,90,10.36
266,Batticaloa,LK,2021-03-15 00:58:57,7.7102,81.6924,76.82,77,2,2.35
267,Grindavik,IS,2021-03-15 01:07:17,63.8424,-22.4338,37.4,93,75,6.91
268,Panaba,MX,2021-03-15 00:58:58,21.2833,-88.2667,78.12,67,0,12.37
269,Huarmey,PE,2021-03-15 00:58:58,-10.0681,-78.1522,73.94,73,100,5.1
270,Groningen,NL,2021-03-15 00:58:59,53.25,6.75,42.01,93,75,10.36
271,Uyuni,BO,2021-03-15 00:58:59,-20.4597,-66.825,54.64,53,95,14.16
272,Constitucion,CL,2021-03-15 00:58:59,-35.3333,-72.4167,55.9,90,84,3.87
273,Kungurtug,RU,2021-03-15 00:59:00,50.5994,97.5228,1.24,71,100,2.35
274,Champerico,GT,2021-03-15 00:59:00,14.3,-91.9167,75.2,94,75,7.14
275,Tutoia,BR,2021-03-15 00:59:00,-2.7619,-42.2744,77.5,88,5,7.83
276,Slave Lake,CA,2021-03-15 00:59:01,55.2834,-114.769,41.0,65,90,11.5
277,Ixtapa,MX,2021-03-15 00:59:01,20.7,-105.2,73.4,68,20,9.22
278,Jati,PK,2021-03-15 00:59:02,24.3539,68.2671,69.82,64,0,8.66
279,Tiznit,MA,2021-03-15 00:59:02,29.5833,-9.5,64.81,36,100,0.72
280,Semnan,IR,2021-03-15 00:59:02,35.5729,53.3971,38.75,57,96,0.36
281,Pevek,RU,2021-03-15 00:57:28,69.7008,170.3133,-6.5,95,100,16.02
282,Port Hardy,CA,2021-03-15 00:59:03,50.6996,-127.4199,41.0,70,75,13.8
283,Koumac,NC,2021-03-15 00:59:03,-20.5667,164.2833,82.89,65,36,6.76
284,Kerecsend,HU,2021-03-15 00:59:03,47.8,20.35,45.0,80,100,3.0
285,Iqaluit,CA,2021-03-15 00:59:04,63.7506,-68.5145,-16.6,69,40,26.46
286,Beringovskiy,RU,2021-03-15 00:59:04,63.05,179.3167,11.86,83,100,9.55
287,Pyaozerskiy,RU,2021-03-15 00:59:04,65.8333,31.1667,23.77,98,82,1.52
288,Rundu,NA,2021-03-15 00:59:05,-17.9333,19.7667,65.97,79,1,3.36
289,Atoka,US,2021-03-15 00:59:05,34.4001,-96.0169,59.0,88,1,8.68
290,Strezhevoy,RU,2021-03-15 00:59:05,60.7333,77.5889,14.0,85,90,6.71
291,Porbandar,IN,2021-03-15 00:59:06,21.6422,69.6093,74.07,57,0,12.28
292,Sitka,US,2021-03-15 00:59:06,57.0531,-135.33,33.8,40,40,6.91
