City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Ugoofaaru,MV,2021-03-14 22:14:47,5.6667,73.0,82.36,77,100,12.71
207,Arraial Do Cabo,BR,2021-03-14 22:11:17,-22.9661,-42.0278,78.8,73,0,12.66
208,Wattegama,LK,2021-03-14 22:14:48,6.7989,81.4808,72.05,89,100,3.62
209,Singaraja,ID,2021-03-14 22:14:48,-8.112,115.0882,78.58,80,45,2.57
210,Azuaga,ES,2021-03-14 22:14:48,38.2667,-5.6833,45.18,75,0,6.31
211,Tete,MZ,2021-03-14 22:13:01,-16.1564,33.5867,75.0,100,0,3.67
212,Matagami,CA,2021-03-14 22:14:49,49.7502,-77.6328,1.4,71,90,18.41
213,Fortuna,US,2021-03-14 22:10:48,40.5982,-124.1573,45.0,92,100,9.98
214,Nishihara,JP,2021-03-14 22:14:49,26.1842,127.7558,64.4,67,40,3.44
215,Isetskoye,RU,2021-03-14 22:14:50,56.4858,65.3226,10.22,89,10,9.98
216,West Bay,KY,2021-03-14 22:14:50,19.3667,-81.4167,82.99,74,20,10.36
217,Lucapa,AO,2021-03-14 22:12:40,-8.4192,20.7447,65.88,93,92,2.19
218,Yaruchel,HN,2021-03-14 22:14:51,14.5333,-88.8167,87.8,45,40,4.61
219,Tavda,RU,2021-03-14 22:14:51,58.0425,65.2726,12.04,91,7,8.01
220,San Policarpo,PH,2021-03-14 22:14:51,12.1791,125.5072,77.92,89,84,10.18
221,Balkhash,KZ,2021-03-14 22:14:52,46.844,74.9804,14.11,68,41,7.38
222,Mashhad,IR,2021-03-14 22:14:52,36.297,59.6062,32.0,93,90,9.22
223,Pangai,TO,2021-03-14 22:14:52,-19.8,-174.35,82.4,74,75,5.93
224,Puerto Carreno,CO,2021-03-14 22:14:53,6.189,-67.4859,90.95,43,99,7.61
225,Vokhtoga,RU,2021-03-14 22:14:53,58.8147,41.0461,33.15,98,100,9.4
226,Tommot,RU,2021-03-14 22:14:02,58.9564,126.2925,12.72,92,100,11.03
227,Coihaique,CL,2021-03-14 22:14:46,-45.5752,-72.0662,75.2,38,0,4.36
228,Bethel,US,2021-03-14 22:09:52,41.3712,-73.414,36.0,52,75,1.99
229,Torbay,CA,2021-03-14 22:12:11,47.6666,-52.7314,30.0,69,90,6.91
230,Mountain Home,US,2021-03-14 22:14:54,43.133,-115.6912,62.6,20,1,3.44
231,Vila Velha,BR,2021-03-14 22:10:41,-20.3297,-40.2925,80.6,69,75,5.75
232,Daru,PG,2021-03-14 22:14:14,-9.0763,143.2092,78.12,89,83,6.26
233,Cockburn Town,TC,2021-03-14 22:14:55,21.4612,-71.1419,75.2,57,20,6.91
234,Sao Joao Da Barra,BR,2021-03-14 22:12:46,-21.6403,-41.0511,80.6,69,0,18.41
235,Venado,MX,2021-03-14 22:14:55,22.9333,-101.0833,87.73,7,0,19.73
236,Aykhal,RU,2021-03-14 22:14:56,66.0,111.5,-22.54,96,62,15.7
237,Hervey Bay,AU,2021-03-14 22:11:46,-25.2986,152.8535,79.0,85,54,3.0
238,Airai,TL,2021-03-14 22:09:29,-8.9266,125.4092,59.23,86,100,1.61
239,Yar-Sale,RU,2021-03-14 22:14:57,66.8333,70.8333,2.86,91,84,5.06
240,Inuvik,CA,2021-03-14 22:14:57,68.3499,-133.7218,-5.8,59,70,6.91
241,Cayenne,GF,2021-03-14 22:14:58,4.9333,-52.3333,75.2,94,75,2.3
242,Souillac,MU,2021-03-14 22:11:23,-20.5167,57.5167,77.0,94,75,3.44
243,Mitsamiouli,KM,2021-03-14 22:14:58,-11.3847,43.2844,82.08,73,100,4.68
244,Nanortalik,GL,2021-03-14 22:11:29,60.1432,-45.2371,31.51,79,100,7.83
245,Hamilton,US,2021-03-14 22:11:47,39.1834,-84.5333,55.99,41,1,5.75
246,Severo-Yeniseyskiy,RU,2021-03-14 22:12:27,60.3725,93.0408,-0.62,95,100,9.84
